x_value,State.INFECTIOUS,State.RECOVERED,State.SUSCEPTIBLE
0,1,0,99
1,1,0,99
2,3,0,97
3,3,0,97
4,4,0,96
5,4,0,96
6,4,0,96
7,4,0,96
8,4,0,96
9,4,0,96
10,4,0,96
11,4,0,96
12,4,0,96
13,5,0,95
14,5,0,95
15,5,0,95
16,5,0,95
17,5,0,95
18,6,0,94
19,6,0,94
20,7,0,93
21,7,0,93
22,7,0,93
23,7,0,93
24,8,0,92
25,8,0,92
26,8,0,92
27,8,0,92
28,8,0,92
29,8,0,92
30,9,0,91
31,9,0,91
32,9,0,91
33,9,0,91
34,9,0,91
35,9,0,91
36,9,0,91
37,9,0,91
38,10,0,90
39,10,0,90
40,10,0,90
41,10,0,90
42,10,0,90
43,10,0,90
44,10,0,90
45,10,0,90
46,10,0,90
47,10,0,90
48,11,0,89
49,11,0,89
50,11,0,89
51,11,0,89
52,11,0,89
53,11,0,89
54,11,0,89
55,11,0,89
56,11,0,89
57,11,0,89
58,11,0,89
59,11,0,89
60,11,0,89
61,11,0,89
62,11,0,89
63,11,0,89
64,11,0,89
65,11,0,89
66,11,0,89
67,11,0,89
68,11,0,89
69,11,0,89
70,11,0,89
71,11,0,89
72,11,0,89
73,11,0,89
74,11,0,89
75,11,0,89
76,11,0,89
77,11,0,89
78,11,0,89
79,11,0,89
80,11,0,89
81,11,0,89
82,11,0,89
83,11,0,89
84,11,0,89
85,11,0,89
86,11,0,89
87,11,0,89
88,11,0,89
89,11,0,89
90,11,0,89
91,11,0,89
92,11,0,89
93,11,0,89
94,11,0,89
95,11,0,89
96,11,0,89
97,11,0,89
98,11,0,89
99,11,0,89
100,11,0,89
101,11,0,89
102,11,0,89
103,11,0,89
104,11,0,89
105,11,0,89
106,11,0,89
107,11,0,89
108,11,0,89
109,11,0,89
110,11,0,89
111,11,0,89
112,12,0,88
113,12,0,88
114,12,0,88
115,12,0,88
116,12,0,88
117,13,0,87
118,14,0,86
119,14,0,86
120,14,0,86
121,14,0,86
122,14,0,86
123,14,0,86
124,14,0,86
125,14,0,86
126,14,0,86
127,14,0,86
128,14,0,86
129,14,0,86
130,14,0,86
131,14,0,86
132,14,0,86
133,14,0,86
134,14,0,86
135,14,0,86
136,14,0,86
137,14,0,86
138,14,0,86
139,14,0,86
140,15,0,85
141,15,0,85
142,15,0,85
143,15,0,85
144,15,0,85
145,15,0,85
146,15,0,85
147,15,0,85
148,15,0,85
149,15,0,85
150,15,0,85
151,15,0,85
152,14,1,85
153,14,1,85
154,14,1,85
155,14,1,85
156,15,1,84
157,15,1,84
158,15,1,84
159,15,1,84
160,15,1,84
161,15,1,84
162,15,1,84
163,15,1,84
164,15,1,84
165,15,1,84
166,15,1,84
167,15,1,84
168,15,1,84
169,15,1,84
170,16,1,83
171,16,1,83
172,16,1,83
173,16,1,83
174,16,1,83
175,15,2,83
176,15,2,83
177,15,2,83
178,15,2,83
179,15,2,83
180,15,2,83
181,15,2,83
182,15,2,83
183,15,2,83
184,15,2,83
185,15,2,83
186,15,2,83
187,15,2,83
188,15,2,83
189,15,2,83
190,15,2,83
191,15,2,83
192,15,2,83
193,15,2,83
194,15,2,83
195,15,2,83
196,15,2,83
197,15,2,83
198,15,2,83
199,15,2,83
200,15,2,83
201,15,2,83
202,15,2,83
203,15,2,83
204,15,2,83
205,15,2,83
206,15,2,83
207,15,2,83
208,15,2,83
209,15,2,83
210,15,2,83
211,15,2,83
212,15,2,83
213,15,2,83
214,15,2,83
215,15,2,83
216,15,2,83
217,15,2,83
218,15,2,83
219,15,2,83
